id,industry,code,name
ciiu_2212,22,2212,"Reencauche de llantas usadas"
ciiu_2219,22,2219,"Fabricación de formas básicas de caucho y otros productos de caucho n.c.p."
ciiu_2221,22,2221,"Fabricación de formas básicas de plástico"
ciiu_2229,22,2229,"Fabricación de artículos de plástico n.c.p."
ciiu_2310,23,2310,"Fabricación de vidrio y productos de vidrio"
ciiu_2391,23,2391,"Fabricación de productos refractarios"
ciiu_2392,23,2392,"Fabricación de materiales de arcilla para la construcción"
ciiu_2393,23,2393,"Fabricación de otros productos de cerámica y porcelana"
ciiu_2394,23,2394,"Fabricación de cemento  cal y yeso"
ciiu_2395,23,2395,"Fabricación de artículos de hormigón  cemento y yeso"
ciiu_2396,23,2396,"Corte  tallado y acabado de la piedra"
ciiu_2399,23,2399,"Fabricación de otros productos minerales no metálicos n.c.p."
ciiu_2410,24,2410,"Industrias básicas de hierro y de acero"
ciiu_2421,24,2421,"Industrias básicas de metales preciosos"
ciiu_2429,24,2429,"Industrias básicas de otros metales no ferrosos"
ciiu_2431,24,2431,"Fundición de hierro y de acero"
ciiu_2432,24,2432,"Fundición de metales no ferrosos "
ciiu_2511,25,2511,"Fabricación de productos metálicos para uso estructural"
ciiu_2512,25,2512,"Fabricación de tanques  depósitos y recipientes de metal  excepto los utilizados para el envase o transporte de mercancías"
ciiu_2513,25,2513,"Fabricación de generadores de vapor  excepto calderas de agua caliente para calefacción central"
ciiu_2520,25,2520,"Fabricación de armas y municiones"
ciiu_2591,25,2591,"Forja  prensado  estampado y laminado de metal, pulvimetalurgia"
ciiu_2592,25,2592,"Tratamiento y revestimiento de metales, mecanizado"
ciiu_2593,25,2593,"Fabricación de artículos de cuchillería  herramientas de mano y artículos de ferretería"
ciiu_2599,25,2599,"Fabricación de otros productos elaborados de metal n.c.p."
ciiu_2610,26,2610,"Fabricación de componentes y tableros electrónicos"
ciiu_2620,26,2620,"Fabricación de computadoras y de equipo periférico"
ciiu_2630,26,2630,"Fabricación de equipos de comunicación"
ciiu_2640,26,2640,"Fabricación de aparatos electrónicos de consumo"
ciiu_2651,26,2651,"Fabricación de equipo de medición  prueba  navegación y control"
ciiu_2652,26,2652,"Fabricación de relojes"
ciiu_2660,26,2660,"Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico"
ciiu_2670,26,2670,"Fabricación de instrumentos ópticos y equipo fotográfico"
ciiu_2680,26,2680,"Fabricación de medios magnéticos y ópticos para almacenamiento de datos"
ciiu_2711,27,2711,"Fabricación de motores  generadores y transformadores eléctricos"
ciiu_2712,27,2712,"Fabricación de aparatos de distribución y control de la energía eléctrica"
ciiu_2720,27,2720,"Fabricación de pilas  baterías y acumuladores eléctricos"
